Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-05-12,3028.797119140625,3065.272636777598,2976.7719816685094,3001.562777515555,2807195
2022-05-13,3034.350830078125,3056.56488405373,3005.250419370082,3052.21101624816,2187823
2022-05-16,3000.496826171875,3047.7682909715472,2991.433535282342,3034.439858212196,1195813
2022-05-17,3066.96142578125,3080.645197108395,2977.0387561429793,2994.4546623176498,1754076
2022-05-18,3064.4736328125,3105.525166737044,3059.364399705565,3078.868298353035,1866781
2022-05-19,2898.445068359375,3025.553918820275,2870.0555529484545,3018.445422094706,4642963
2022-05-20,2926.035400390625,2944.6062640779983,2905.6429407592427,2941.1409581818916,3065125
2022-05-23,2951.58154296875,2966.820298209671,2902.932761610268,2936.5204567843207,2293690
2022-05-24,2921.59228515625,2954.3358864396305,2910.5742015114233,2945.716660226276,1711510
2022-05-25,2833.613525390625,2945.6110559752246,2821.4478094645397,2945.6110559752246,3548046
2022-05-26,2886.66015625,2899.6758667069867,2845.153237526035,2854.501215690882,2813186
2022-05-27,2917.387939453125,2933.1318451391644,2888.672876025808,2910.1420170120946,3103153
2022-05-30,3019.32177734375,3029.474979929779,2939.7965833136136,2949.323427865297,2094624
2022-05-31,3009.5712890625,3026.612246033562,2974.3707538356352,3000.44672887576,4840965
2022-06-01,3001.3857421875,3030.7269440021355,2987.833434858042,3030.7269440021355,1493835
2022-06-02,3062.036376953125,3070.0873052010297,2993.424621008395,3001.2071413022886,2657939
2022-06-03,3077.377685546875,3110.6102582693384,3069.371528604616,3094.5977259894203,1913622
2022-06-06,3069.14794921875,3088.872766865215,3021.021246154396,3057.563601837621,1084210
2022-06-07,3008.09521484375,3058.3241943557528,3002.1017895151595,3042.4012031637467,2308256
2022-06-08,3045.174072265625,3053.940682272369,2993.6034913799344,3023.704930238696,2185707
2022-06-09,3065.7041015625,3074.5600352543865,2999.507580582336,3028.043561052109,1279197
2022-06-10,3005.59033203125,3035.1999443400923,2998.5234934948394,3025.359920942585,1527582
2022-06-13,2880.08544921875,2945.7451536237168,2855.7983516097243,2943.0615109086025,3030921
2022-06-14,2871.98974609375,2897.3500386797054,2839.920128333768,2853.606749841241,2611493
2022-06-15,2868.18798828125,2892.966912903787,2863.4468423639523,2879.101425225986,1404536
2022-06-16,2810.6689453125,2902.6732659696545,2802.662786871745,2898.3346221554743,2032028
2022-06-17,2763.167724609375,2789.8700552215146,2704.977583624793,2765.940909256889,5240434
2022-06-20,2784.18994140625,2807.761358689215,2745.3666618294546,2767.730352460193,1502769
2022-06-21,2873.241943359375,2896.321313698456,2795.8188096638946,2799.9338157288753,2964461
2022-06-22,2883.08154296875,2907.7711389421333,2847.34441747468,2862.4621814062994,3336315
2022-06-23,2959.87890625,2968.108699833873,2883.0819135631095,2883.0819135631095,3692578
2022-06-24,2945.8349609375,2992.2618967303943,2931.879930204445,2986.8946108169766,2132118
2022-06-27,2965.1572265625,3008.2743821550343,2957.821979079195,2996.7348041479822,2037686
2022-06-28,2968.242431640625,2978.842905916221,2927.4959714126285,2958.2683152747577,1400046
2022-06-29,2943.508544921875,2981.5268136224313,2926.064868694561,2926.064868694561,2133994
2022-06-30,2922.57666015625,2961.7576717790407,2911.752546434991,2926.959856201318,2719603
2022-07-01,2965.5146484375,2981.526962105953,2909.1133821479257,2916.2249914387658,1502879
2022-07-04,2893.906005859375,2968.0639081040827,2884.960530635869,2962.741394025175,2622535
2022-07-05,2877.133544921875,2926.959803521567,2868.769437342766,2911.7524940289427,2170627
2022-07-06,2916.89599609375,2923.828739778401,2864.5649631192855,2879.101361167748,2182144
2022-07-07,2941.138671875,2969.3614764130343,2920.742941127774,2926.06545613533,1989921
2022-07-08,2921.10009765625,2956.479495050684,2907.27938242503,2952.006757539261,2136916
2022-07-11,2785.4423828125,2884.9160330481313,2778.4648677976734,2868.0537232952515,6974600
2022-07-12,2759.410888671875,2805.480089247644,2755.4301956021764,2786.4261820294582,3734815
2022-07-13,2718.306884765625,2782.0434098300598,2714.9523308148655,2776.6761235088443,3863530
2022-07-14,2689.605224609375,2741.8501614442216,2661.128370626433,2740.9532526573576,4764908
2022-07-15,2685.8828125,2716.64660495241,2648.5713239374063,2707.3637315259157,4574806
2022-07-18,2747.68017578125,2759.7435556409487,2703.552305539903,2711.3553684957465,3202795
2022-07-19,2757.32177734375,2761.537204754879,2717.678453631059,2717.678453631059,1865074
2022-07-20,2838.537353515625,2844.950164613829,2778.668683955497,2787.4135458013584,3402251
2022-07-21,2849.74853515625,2855.757780661632,2819.9263158701324,2840.5103301995564,2420640
2022-07-22,2844.09765625,2867.4172838319932,2819.4326655382765,2856.65437879415,2075886
2022-07-25,2840.28564453125,2857.954702243871,2824.4552934601734,2838.7160542958572,1797504
2022-07-26,2794.677734375,2842.213895536808,2777.277793161116,2838.44692278628,2639367
2022-07-27,2860.10791015625,2864.8166816784224,2789.386558848772,2793.871103155603,1389808
2022-07-28,2924.371337890625,2927.5105189004753,2871.5881638933847,2884.4588936225273,2106333
2022-07-29,2961.50341796875,2975.315946452222,2937.3766560770605,2950.8302896163445,2430257
2022-08-01,2958.722900390625,2984.0156856722806,2933.78879105321,2984.0156856722806,1306913
2022-08-02,2952.444580078125,2971.369225326498,2934.371735466329,2950.8301003625766,1269114
2022-08-03,2995.2265625,3003.747195032939,2939.214658748891,2941.860495583171,2895824
2022-08-04,3009.083984375,3038.6370840635946,2966.3912590118593,3004.6443298312643,2150567
2022-08-05,3018.14306640625,3028.861083003313,3009.1290889772326,3014.689879862934,1106933
2022-08-08,3026.573974609375,3030.56517513093,2992.087873696429,3018.098229912615,1068836
2022-08-10,3008.45654296875,3036.0364904074586,2991.1910474176884,3036.0364904074586,1878359
2022-08-11,3069.67041015625,3075.231200998242,3027.1121308061656,3049.4899618791087,1449248
2022-08-12,3050.880126953125,3066.5311414854314,3032.6728347901767,3066.5311414854314,1472354
2022-08-16,3042.942626953125,3062.8092894639904,3038.278744703972,3059.3561027853134,839942
2022-08-17,3050.4765625,3065.58934417508,3023.569298894891,3036.1260219106084,1622326
2022-08-18,3032.67236328125,3042.3141312384473,3015.406871823013,3040.520313944085,1430659
2022-08-19,3036.708984375,3068.7734741310087,3023.7038067117237,3037.830120380455,1398410
2022-08-22,3008.725341796875,3035.229039600273,3002.3123127432127,3018.0979945979097,1536532
2022-08-23,2945.98681640625,2997.3795169400164,2932.8918599626186,2977.6924120107906,1849256
2022-08-24,2919.75244140625,2966.9746068558716,2915.13322924158,2952.624064621986,1691923
